time,conc,acth
0,0.962784375,0.408933002
0.65,0.669198214,0.141935484
1.4,0.476529464,0.242679901
3.6,0.201288393,0.141439206
4.09,0.568267857,0.357320099
5.06,0.439826339,0.256327543
6.03,0.265502679,0.40719603
6.78,0.366433036,0.183622829
7.32,0.155419196,0.298511166
7.96,0.283860714,0.117866005
9.69,0.100370982,0.204218362
9.79,0.192109375,0.030521092
12.48,0.0001,0.15955335
13.88,0.054488839,0
15.39,0.192109375,0.598014888
17.97,0.017798661,0.114888337
18.4,0.522398661,0.885359801
19.59,0.192109375,0.236972705
20.45,0.999474554,0.8
21.52,0.513219643,1
22.28,0.990308482,0.344168734
23,0.485695536,0.877171216
24,0.962784375,0.697022333
